impl,points,dims,time
python_brute,100,50,0.0634148120880127
python_brute,100,50,0.06134605407714844
python_brute,100,50,0.06586360931396484
python_brute,100,50,0.0715944766998291
python_brute,100,50,0.06731677055358887
python_cached,100,50,0.03383898735046387
python_cached,100,50,0.03441762924194336
python_cached,100,50,0.03336024284362793
python_cached,100,50,0.03324103355407715
python_cached,100,50,0.03324079513549805
numpy_brute,100,50,0.053398847579956055
numpy_brute,100,50,0.06105828285217285
numpy_brute,100,50,0.053613901138305664
numpy_brute,100,50,0.05129528045654297
numpy_brute,100,50,0.05301070213317871
numpy_cached,100,50,0.026019573211669922
numpy_cached,100,50,0.02848029136657715
numpy_cached,100,50,0.02832341194152832
numpy_cached,100,50,0.028679370880126953
numpy_cached,100,50,0.02653956413269043
numpy_broadcast,100,50,0.0017936229705810547
numpy_broadcast,100,50,0.0018613338470458984
numpy_broadcast,100,50,0.0017206668853759766
numpy_broadcast,100,50,0.0015571117401123047
numpy_broadcast,100,50,0.0018451213836669922
numpy_double_broadcast,100,50,0.001684427261352539
numpy_double_broadcast,100,50,0.0016579627990722656
numpy_double_broadcast,100,50,0.0016663074493408203
numpy_double_broadcast,100,50,0.001569509506225586
numpy_double_broadcast,100,50,0.0016789436340332031
scipy,100,50,0.0002715587615966797
scipy,100,50,0.00020241737365722656
scipy,100,50,0.0001964569091796875
scipy,100,50,0.0001952648162841797
scipy,100,50,0.00019478797912597656
cython,100,50,0.00014734268188476562
cython,100,50,0.0001316070556640625
cython,100,50,0.00013065338134765625
cython,100,50,0.00012993812561035156
cython,100,50,0.00012993812561035156
cython_parallel,100,50,0.00031256675720214844
cython_parallel,100,50,0.0003097057342529297
cython_parallel,100,50,0.000408172607421875
cython_parallel,100,50,0.00027751922607421875
cython_parallel,100,50,0.0002772808074951172
python_brute,800,4,0.687053918838501
python_brute,800,4,0.7006349563598633
python_brute,800,4,0.7173967361450195
python_brute,800,4,0.6883223056793213
python_brute,800,4,0.6957695484161377
python_cached,800,4,0.3607003688812256
python_cached,800,4,0.35607147216796875
python_cached,800,4,0.3549628257751465
python_cached,800,4,0.3579273223876953
python_cached,800,4,0.37044310569763184
numpy_brute,800,4,3.379699945449829
numpy_brute,800,4,3.4853978157043457
numpy_brute,800,4,3.4452738761901855
numpy_brute,800,4,3.3793399333953857
numpy_brute,800,4,3.378016233444214
numpy_cached,800,4,1.771371841430664
numpy_cached,800,4,1.748612403869629
numpy_cached,800,4,1.7893328666687012
numpy_cached,800,4,1.795213222503662
numpy_cached,800,4,1.7812588214874268
numpy_broadcast,800,4,0.030670881271362305
numpy_broadcast,800,4,0.0319368839263916
numpy_broadcast,800,4,0.023199796676635742
numpy_broadcast,800,4,0.022999286651611328
numpy_broadcast,800,4,0.022129058837890625
numpy_double_broadcast,800,4,0.02255725860595703
numpy_double_broadcast,800,4,0.023468017578125
numpy_double_broadcast,800,4,0.025310754776000977
numpy_double_broadcast,800,4,0.022684335708618164
numpy_double_broadcast,800,4,0.022689342498779297
scipy,800,4,0.0023317337036132812
scipy,800,4,0.002521514892578125
scipy,800,4,0.0027899742126464844
scipy,800,4,0.002515554428100586
scipy,800,4,0.0025136470794677734
cython,800,4,0.002208709716796875
cython,800,4,0.002536773681640625
cython,800,4,0.0023157596588134766
cython,800,4,0.0025157928466796875
cython,800,4,0.002630472183227539
cython_parallel,800,4,0.0037004947662353516
cython_parallel,800,4,0.0036842823028564453
cython_parallel,800,4,0.0058057308197021484
cython_parallel,800,4,0.004295825958251953
cython_parallel,800,4,0.0037059783935546875
python_brute,200,50,0.2674441337585449
python_brute,200,50,0.25972437858581543
python_brute,200,50,0.26280879974365234
python_brute,200,50,0.2708122730255127
python_brute,200,50,0.2632744312286377
python_cached,200,50,0.13254213333129883
python_cached,200,50,0.13265585899353027
python_cached,200,50,0.1311342716217041
python_cached,200,50,0.15538835525512695
python_cached,200,50,0.1334371566772461
numpy_brute,200,50,0.21965742111206055
numpy_brute,200,50,0.2137291431427002
numpy_brute,200,50,0.21444082260131836
numpy_brute,200,50,0.21517252922058105
numpy_brute,200,50,0.21470332145690918
numpy_cached,200,50,0.1175997257232666
numpy_cached,200,50,0.14670562744140625
numpy_cached,200,50,0.11807465553283691
numpy_cached,200,50,0.11832189559936523
numpy_cached,200,50,0.11267209053039551
numpy_broadcast,200,50,0.005707502365112305
numpy_broadcast,200,50,0.005713462829589844
numpy_broadcast,200,50,0.005251169204711914
numpy_broadcast,200,50,0.005438566207885742
numpy_broadcast,200,50,0.0058135986328125
numpy_double_broadcast,200,50,0.005654335021972656
numpy_double_broadcast,200,50,0.00589442253112793
numpy_double_broadcast,200,50,0.005769252777099609
numpy_double_broadcast,200,50,0.005582332611083984
numpy_double_broadcast,200,50,0.00616765022277832
scipy,200,50,0.0009686946868896484
scipy,200,50,0.0007898807525634766
scipy,200,50,0.0007526874542236328
scipy,200,50,0.000789642333984375
scipy,200,50,0.0008399486541748047
cython,200,50,0.0005230903625488281
cython,200,50,0.0005102157592773438
cython,200,50,0.0005087852478027344
cython,200,50,0.0005087852478027344
cython,200,50,0.0005726814270019531
cython_parallel,200,50,0.0011200904846191406
cython_parallel,200,50,0.0011165142059326172
cython_parallel,200,50,0.0013434886932373047
cython_parallel,200,50,0.001196146011352539
cython_parallel,200,50,0.0011458396911621094
python_brute,150,50,0.1754441261291504
python_brute,150,50,0.1604912281036377
python_brute,150,50,0.15689611434936523
python_brute,150,50,0.16226768493652344
python_brute,150,50,0.1503756046295166
python_cached,150,50,0.0779416561126709
python_cached,150,50,0.074188232421875
python_cached,150,50,0.07326865196228027
python_cached,150,50,0.07231974601745605
python_cached,150,50,0.08774924278259277
numpy_brute,150,50,0.12652993202209473
numpy_brute,150,50,0.12279939651489258
numpy_brute,150,50,0.12417149543762207
numpy_brute,150,50,0.12909841537475586
numpy_brute,150,50,0.13094043731689453
numpy_cached,150,50,0.07029294967651367
numpy_cached,150,50,0.06876468658447266
numpy_cached,150,50,0.06966376304626465
numpy_cached,150,50,0.06879949569702148
numpy_cached,150,50,0.07511687278747559
numpy_broadcast,150,50,0.0036079883575439453
numpy_broadcast,150,50,0.004282474517822266
numpy_broadcast,150,50,0.003450632095336914
numpy_broadcast,150,50,0.0037801265716552734
numpy_broadcast,150,50,0.003466367721557617
numpy_double_broadcast,150,50,0.004215717315673828
numpy_double_broadcast,150,50,0.003705263137817383
numpy_double_broadcast,150,50,0.003163576126098633
numpy_double_broadcast,150,50,0.0039980411529541016
numpy_double_broadcast,150,50,0.0037326812744140625
scipy,150,50,0.0007116794586181641
